title,keywords
Fish Tank,"drama, dancing, mother, alcohol, sex, adultery, fight, nudity, sister, friendship, party, independent film, school, essex, teenager, theft, violence, apartment, estate, boyfriend, teenage rebellion, voyeur, woman director, aggressive"
Fiza,"suicide, loss of brother, laughing, jihad, love, racial tension, drama, romance, foreign"
Flags of Our Fathers,"drama, history, war, world war ii, dying and death, pacific, iwo jima, aftercreditsstinger, duringcreditsstinger"
Flammen & Citronen,"assassin, copenhagen, resistance, repayment, world war ii, traitor, double agent, moral conflict, independent film, crime, gestapo, dishonesty, drama, history, crime, war"
Flash Gordon,"science fiction, emperor, solar eclipse, prince, tv duel, fighter, deception, hood, scientist, sword and planet"
Flash of Genius,"biography, drama"
Flashdance,"drama, music, romance, dancing, dance, locksmith, welder"
Flatliners,"life and death, afterlife, swing, memory, medical student, confetti, drama, horror, thriller, science fiction"
Flawless,"drama, comedy, independent film"
Fled,"hacker, undercover agent, mafia, chain gang, fugitive, floppy disk, action, comedy, thriller"
Flicka,"drama, horse"
Flight,"drama, confession, airplane, f word, hangover, airplane crash, syringe, denial, porn actress, jesus freak, baseball stadium, perjury, national transportation safety board, flying upside down, narcissist, relapse, substance abuse"
Flight of the Intruder,"adventure, drama, action, thriller, bomber, vietnam war, u.s. navy, aviation, combat, bombing"
Flight of the Phoenix,"robbery, water, gobi desert, disaster, airplane crash, struggle for survival, desert, adventure, drama, action, thriller"
Flightplan,"drama, thriller, mystery, berlin, loss of father, airplane, baby-snatching"
Flipped,"shyness, based on novel, unrequited love, neighbor, family relationships, first crush, young love, opposites attract, adolescent boy, based on young adult novel, drama, romance"
Flipper,"adventure, family, dolphin, florida, florida keys, summer"
Flirting with Disaster,"comedy, romance, lsd, looking for  birth parents, half-brother, independent film"
Florence Foster Jenkins,"drama, comedy, opera, biography, singing false"
Flubber,"comedy, science fiction, family, wedding vows, inventor, slime, green, flight, mad scientist, wedding"
Flushed Away,"london england, underworld, return, ship, frog, girlfriend, rubin, adventure, animation, comedy, family"
Flyboys,"adventure, drama, action, history, romance, war, world war i, biplane"
Flying By,drama
Flywheel,"drama, family, christianity, father son relationship, georgia, ark of the covenant, minister, christian film, repentance"
Focus,"drama, comedy, crime, romance, seduction, con man, femme fatale, deception, rivalry, con artist"
Food Chains,documentary
"Food, Inc.","documentary, food industry, monsanto, organic food, sustainable, griculture, corn"
Foodfight!,"animation, action, comedy, family, supermarket, fight, product placement, computer animation, food"
Fool's Gold,"adventure, comedy, romance, helicopter, cemetery, boat, mexican standoff, sword, cave, shipwreck, yacht, bahamas, jet ski, treasure hunt, rivalry, scuba diving, gangster, underwater, divorce, heiress, ex-husband ex-wife relationship, henchmen"
Foolish,"independent film, sexual humor, drug humor, drama, comedy"
Footloose,"drama, music, romance, family, dancing, dancer, dance, music, dance teacher"
"For a Good Time, Call...","comedy, crude humor, best friend, phone sex, innuendo, dirty joke"
For Colored Girls,"drama, female nudity, poem, rape, love, domestic violence, womanhood"
For Greater Glory - The True Story of Cristiada,"drama, history, duringcreditsstinger"
For Love of the Game,"drama, romance, baseball, trainer, career, legend, training, sport"
For Your Consideration,"drama, comedy"
For Your Eyes Only,"adventure, action, thriller, london england, submarine, england, sea, assassin, mountains, undercover, olympic games, drug traffic, secret mission, secret intelligence service, kgb, coral reef, ski jump, parrot, cryptographic device, gang of smugglers, figure skating, motorcycle, monastery, british secret service, skiing"
Force 10 from Navarone,"adventure, action, thriller, war, gun, traitor, nazis, bridge, major, colonel, blood, sergeant, battle, partisan, woman, task force, keith mallory"
Forget Me Not,"independent film, drama, horror, romance"
Forgetting Sarah Marshall,"drama, comedy, romance, hawaii, one-night stand, beauty"
Forrest Gump,"drama, comedy, romance, vietnam veteran, hippie, mentally disabled, running, based on novel, vietnam, vietnam war, friendship, love, family relationships, bully, mother son relationship, military, hugging, shrimping, wounded soldier, flashback, park bench, amputee"
Forsaken,"drama, western"
Fort McCoy,"drama, history, war, woman director"
Fortress,"action, thriller, science fiction, prison, cyborg, married couple, future, dystopia, escape, population control"
Forty Shades of Blue,"independent film, drama, romance"
Four Brothers,"action, crime, brother brother relationship, robbery, arbitrary law, adoptive mother, revenge, murder, violence, detroit, duringcreditsstinger, interracial adoption"
Four Christmases,"holiday, romantic comedy, dysfunctional family, christmas, drama, comedy, romance"
Four Lions,"drama, comedy, crime, terrorism, british farce"
Four Rooms,"comedy, crime, hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film"
Four Single Fathers,"drama, comedy"
Four Weddings and a Funeral,"drama, comedy, romance, upper class, love at first sight, wedding vows, marriage proposal, yuppie, love of one's life, lone wolf, snob, witness, bride, bridegroom, bridesmaid, funeral, clumsy fellow, friendship, wedding, gay couple"
Frailty,"drama, thriller, crime, angel, sheriff, loss of mother, 1970s, texas, dream, rose garden, grave, ax, insanity, murder, mechanic, vision, serial killer, punishment, demon, fbi agent, gloves, religious fanatic, remorse, flashback, forced to kill"
Frances Ha,"drama, comedy, friendship, loneliness, black and white, responsibility, late coming of age"
Frankenweenie,"animation, comedy, family, shyness, stop motion, black and white, retro, dog, animal death, animal lover"
Frat Party,"sport, comedy, romance"
Freakonomics,"documentary, female nudity, corruption, cheating, experiment, limousine, high school, independent film, student, economics, real estate, woman director"
Freaky Deaky,"comedy, bomb squad, ex-fugitive, freaky"
Freaky Friday,"comedy, single parent, brother sister relationship, mistake in person, bride, talk show, body exchange, motherly love, high school, mother daughter relationship, wedding, psychiatrist, body-swap, music band, teen comedy, child as an adult, adult as a child"
Freddy Got Fingered,"wheelchair, slacker, sausage, comedy"
Freddy vs. Jason,"horror, murder, marijuana, teenager, bad dream"
Freddy's Dead: The Final Nightmare,"amnesia, nightmare, alternate dimension, psychologist, memory loss, youth, killer, disfigurement, duringcreditsstinger, woman director, halfway house, dreams, memories, horror, comedy, thriller"
Free Birds,"animation, comedy, family, holiday, thanksgiving, freedom, duringcreditsstinger, 3d"
Free State of Jones,"slavery, american civil war, drama, action, history, thriller, war"
Free Style,"drama, family, duringcreditsstinger"
Freedom,"drama, ship, freedom, slave"
Freedom Writers,"black people, based on novel, holocaust, ghetto, diary, principal witness , biography, daughter, high school, racial segregation, anne frank, school excursion, idealism, violence in schools, racial tension, gang violence, based on true events, drama, crime"
Freeheld,"drama, romance, new jersey, equality, lesbian relationship, cancer"
Freeway,"drama, comedy, thriller, prison, attempt to escape, step father, independent film, hitchhiker"
Freeze Frame,"loss of family, camcorder, alibi, suspect, murder, drama, thriller, crime"
Frenzy,"drama, thriller, crime, mystery, london england, rape, police, suspense, serial killer"
Frequency,"drama, thriller, crime, science fiction, new york, mother, detective, baseball, radio, firemen, future, time, race against time, investigation, father, history, murder, paranormal, rescue, family relationships, escape, crime, explosion, flashback, phenomenon, amateur radio, aurora borealis, altering history"
Frida,"drama, romance, painter, love of one's life, disabled, woman director"
Friday,"comedy, rap music, parents kids relationship, rapper, job"
Friday After Next,"guard, shopping mall, thief, drug, comedy"
Friday the 13th Part 2,"horror, thriller, camping, summer camp, gore, slasher, b horror, brisbane queensland"
Friday the 13th Part III,"lake, summer camp, murder, serial killer, slasher, summer, jason voorhees, one by one, friday the thirteenth, horror, thriller"
Friday the 13th Part VI: Jason Lives,"horror, thriller, mystery, lightning, cemetery, mask, slasher, jason vorhees"
Friday the 13th Part VII: The New Blood,"lake, mask, telekinesis, psychopath, slasher, teenager, psychiatrist, jason vorhees, horror, thriller"
Friday the 13th Part VIII: Jason Takes Manhattan,"horror, thriller, new york, boat, mask, psychopath, high school, sewerage, times square, serial killer, teenager, jason vorhees"
Friday the 13th: A New Beginning,"mask, psychology, serial killer, hospital, teenager, series of murders, horror, thriller"
Friday the 13th: The Final Chapter,"horror, thriller, lake, resurrection, morgue, serial killer, jason vorhees, hitchhike"
Friends with Benefits,"funeral, friends, hospital, aftercreditsstinger, duringcreditsstinger, comedy, romance"
Friends with Money,"drama, comedy, romance, midlife crisis, marriage, money, divorce, fashion, woman director"
Fright Night,"sunrise, vampire, suspicion, remake, suburbia, horror, comedy"
From a Whisper to a Scream,"horror, comedy, civil war, narration, voodoo, necrophilia, anthology, librarian, freak show"
From Dusk Till Dawn,"horror, action, thriller, crime, dancing, brother brother relationship, sexual obsession, showdown, sheriff, eroticism, nudity, bank robber, vampire, holy water, siege, stripper, priest, explosion, extreme violence, bank robbery, preacher, hostage situation, crucifix, recreational vehicle, blood spurting, convenience store, female vampire, mexican american border, nightclub entertainer, boa constrictor"
From Hell,"loss of family, drug addiction, jack the ripper, horror, thriller, mystery"
From Here to Eternity,"drama, romance, war, hawaii, harassment, pearl harbor, bombing, military life, army base"
From Justin to Kelly,"musical, comedy, romance"
From Paris with Love,"action, thriller, crime, paris, cia, undercover, explosive, pimp, ambassador, anti hero, revelation, french, politician, firearm, deception, car crash, gang"
From Russia with Love,"adventure, action, thriller, venice, london england, terror, england, assassination, spy, assassin, istanbul, russia, secret mission, secret organization, secret intelligence service, kgb, orient express, zagreb, gondola, phantom, villain, duringcreditsstinger"
Frost/Nixon,"drama, history, camera, lie, scandal, watergate scandal, richard nixon, reporter, writer"
Frozen,"adventure, animation, family, queen, musical, princess, betrayal, snowman, animation, reindeer, curse, snow, troll, mountain climber, aftercreditsstinger, woman director, 3d"
Frozen River,"drama, human trafficking, woman director"
Fruitvale Station,"drama, police brutality, based on true story, racism, docudrama, day in a life"
Fuel,"drama, documentary, energy policy, consumption, automobile industry, independent film, nature"
Fugly,"drama, comedy, thriller"
Full Frontal,"drama, comedy, romance, independent film"
Fun Size,"comedy, halloween, friends, little brother, trick or treating, boyfriend girlfriend relationship"
Fun with Dick and Jane,"comedy, based on novel, desperation, robber, hold-up robbery, remake, suburbia, loss of job, humiliation, unemployment, bankruptcy, travel agent, riches to rags, bearer bonds, comeuppance"
Funny Games,"brother brother relationship, boat, psychopath, vacation, murder, suspense, neighbor, torture, dog, family, horror, thriller, crime"
Funny Ha Ha,"drama, comedy, mumblecore"
Funny People,"comedian, cancer, bromance, stand-up comedian, drama, comedy"
Fur: An Imaginary Portrait of Diane Arbus,"drama, mystery, romance, photographer, biography, hair, werewolf, hypertrichosis, freak"
Furious 7,"action, car race, speed, revenge, suspense, car, race, muscle car"
Furry Vengeance,"comedy, bear, animal, aftercreditsstinger, duringcreditsstinger, real estate, land developer, real estate developer"
Fury,"drama, action, war, world war ii, nazis, war, nazi germany, panzer, tank"
G-Force,"adventure, fantasy, action, comedy, family, dyr, duringcreditsstinger"
G.I. Jane,"poem, middle east, helicopter, satellite, navy, sexism, war, army, sexual harassment, navy seal, feminist, soldier, commando, mental health, drill instructor, military, u.s. military, army base, reconnaissance, sexual discrimination, drama, action"
G.I. Joe: Retaliation,"adventure, action, thriller, science fiction, terror, assassin, secret, technology, missile, warhead, president, rescue, conspiracy, explosion, battle, surveillance, cobra"
G.I. Joe: The Rise of Cobra,"terrorist, secret, hostage, technology, warhead, government, president, revenge, murder, attack, explosion, scientist, lasers, evil, cobra, adventure, action, thriller, science fiction"
"Gabriela, Cravo e Canela","drama, romance"
Galaxina,"comedy, science fiction, android, harley davidson, cryogenics, space travel, love, parody, spaceship, space, alien, motorcycle, exercise, lasers, force field, meta film, forcefield, motorbike, cryonics"
Galaxy Quest,"comedy, science fiction, family, space battle, spaceship, spoof, fictional tv show"
Gamer,"action, thriller, science fiction, dystopia, mind control, gun battle, wrongful imprisonment, dystopic future, wrongful conviction, online gaming"
Gandhi,"drama, history, muslim, indian lead, demonstration, world war ii, imprisonment, release from prison, south africa, bravery, hunger strike, colony, morning prayer, hindu, independence, british army, political negotiations, conference, nonviolent resistance, apartheid, british empire, protest, independence movement, bombay india, strike, freedom, prayer, world religion, hinduism, mahatma gandhi, calcutta"
"Gandhi, My Father","drama, history, foreign, biography, mahatma gandhi, tragedy"
Gangs of New York,"fire, irish-american, immigrant, gang war, pickpocket, ship, gang of thieves, butcher, pig, army, rescue, gang, drama, history, crime"
Gangster Squad,"drama, action, thriller, crime, los angeles, gangster"
Garden State,"drama, comedy, romance, new jersey, paraplegic, loss of mother, expensive restaurant, pop culture, ecstasy, strangeness, epilepsy, lethargy, answering machine, difficult childhood, unsociability, single, marijuana, los angeles, psychiatrist, grave digger"
Garfield,"animation, comedy, family, competition, moderator, lasagne, garfield"
Garfield: A Tail of Two Kitties,"london england, cat, mistake in person, luxury, wretch, nobility, garfield, animation, comedy, family"
Gattaca,"thriller, science fiction, mystery, romance, paraplegic, suicide attempt, cheating, dna, spaceman, new identity, heart disease, false identity, blood sample, biotechnology, space mission, dystopia, investigation, genetics, hostility, exercise, eugenics, dystopic future"
Gentleman's Agreement,"drama, romance, anti semitism, soldier"
Gentlemen Broncos,"writing, plagiarism, independent film, homeschooling, aftercreditsstinger, duringcreditsstinger, action, comedy, thriller"
George and the Dragon,"adventure, swordplay, hero, sword, dragon"
George of the Jungle,"africa, san francisco, gorilla, lion, feral child, jungle, adventure, comedy, romance, family"
George Washington,"drama, independent film"
Georgia Rule,"grandmother granddaughter relationship, promiscuity, mother daughter relationship, summer, teenager, rural, veterinary clinic, rebellious teenager, drama, comedy, romance"
Gerry,"adventure, drama, mystery, desperation, highway, wilderness, getting lost, friendship, murder, best friend, desert, very little dialogue, tarkovskyesque, friend"
Get Carter,"drama, action, thriller, crime, ritual, pornographic video, car crash, dvd"
Get Hard,"comedy, prison, training, framed, embezzlement"
Get Him to the Greek,"comedy, aftercreditsstinger"
Get Low,"independent film, drama, comedy, mystery"
Get on the Bus,"drama, washington d.c., bus, march"
Get on Up,"drama, music, biography, james brown"
Get Over It,"comedy, romance, theatre play, theatre group, high school, falling in love"
Get Rich or Die Tryin',"loss of mother, attempted murder, career, musical, rapper, drug, drama"
Get Shorty,"comedy, thriller, crime, gambling, miami, based on novel, job, murder, travel, mafia, money, debt, mobster, business, hollywood, gangster, crime, violence, drug, producer, con"
Get Smart,"dancing, spy, terrorist, traitor, airplane, violin, based on tv series, legs, action, comedy, thriller"
Getaway,"action, crime"
Gettysburg,"drama, history, war, civil war, independence, troops, army, battle, union soldier, confederate soldier, american civil war"
Ghost,"fantasy, drama, thriller, mystery, romance, corruption, fortune teller, money transfer, money laundering, pottery, afterlife, spiritism"
Ghost Dog: The Way of the Samurai,"drama, crime, deportation, hitman, mission of murder, book, code, telescope, beating, mafia, park, pigeon, hagakure, ice cream, haitian, cd player, rouge, arm sling, racial slur"
Ghost Rider,"fantasy, horror, action, thriller, mephisto, religion and supernatural, dying and death, devil's son, ghost world, stunts, flame, based on comic book"
Ghost Rider: Spirit of Vengeance,"fantasy, action, thriller, monk, eastern europe, skeleton, biker, marvel comic, superhero, motorcycle, devil, dark hero, ghost rider"
Ghost Ship,"cruise, pilot, ghost ship, horror, thriller, mystery"
Ghost Town,"fantasy, comedy, romance, dying and death, misanthrope, lecture, cardiopulmonery resuscitation"
Ghost World,"drama, comedy, high school friends, art class, record collector, plaster, personal ad, blues music, nunchaku, prank telephone call, aftercreditsstinger"
Ghostbusters,"fantasy, action, comedy, female friendship, ghost hunting, reboot, ghost"
Ghosts of Mars,"climbing up a wall, hung upside down, flashback within a flashback, cavern, battering, ram, ghost town, horror, action, science fiction"
Ghosts of Mississippi,"drama, history, assassin, widow, trial, civil rights, activist"
Gigli,"new york, mentally disabled, kidnapping, blackmail, mission of murder, lovers, lesbian, mobster, drama"
Girl 6,"comedy, independent film, neighbor, masturbation, phone sex, actress"
Girl with a Pearl Earring,"painter, biography, painting, maid, drama, romance"
"Girl, Interrupted","drama, based on novel, suicide attempt, puberty, biography, borderline personality disorder"
GirlHouse,"horror, thriller, female nudity, sex, shower, sauna, nudity, security camera, house, webcam, website, murder, lesbian, masked killer, slasher, undressing, violence, home invasion, masked man, internet chat, sex scene, internet porn, security guard, disfigured face, porn actress, skirt, college student, rubber mask"
Girls Gone Dead,"horror, comedy"
Give Me Shelter,"documentary, helping animals"
Gladiator,"rome, gladiator, arena, senate, roman empire, emperor, slavery, battlefield, blood, ancient world, father daughter relationship, combat, mother son relationship, dream sequence, chariot, philosopher, barbarian horde, 2nd century, successor, adventure, drama, action"
Glee: The Concert Movie,"documentary, music, family, concert, live performance, duringcreditsstinger"
Glengarry Glen Ross,"robbery, office, shop, estate agent, company, contest, cowardliness, cult film, real estate, pressure, neo-noir, drama, crime, mystery"
Gli intoccabili,"drama, action, thriller, crime, foreign, mobster"
Glitter,"talent, career woman, talent show, movie star, drama, romance"
Glory,"war, war, racism, battle, union soldier, confederate soldier, american civil war"
Glory Road,"basketball, racial segregation, teachers and students, drama"
Go,"comedy, thriller, crime, ecstasy, drug dealing, drug, reference to family circus, high, bisexual man, multiple storylines"
Go for It!,"dancing, chicago, woman director, drama, family"
Goal!: The Dream Begins,"drama, restaurant, sport, coach, athlete, newcastle united, computer games"
God's Not Dead 2,"drama, christian"
Goddess of Love,"drama, horror, thriller, mystery"
Gods and Generals,"drama, history, war, war, battle, union soldier, confederate soldier, american civil war, secession"
Gods and Monsters,"gay, film director, dying and death, biography, homosexuality, author, lgbt elderly, drama"
Gods of Egypt,"fantasy, egypt, underworld, fight, mythology, nile, war, thief, rescue, desert, gods, egyptian mythology, egyptian, myth"
Godsend,"drama, horror, thriller, science fiction, schizophrenia, clone, loss of son, nightmare, doctor"
Going the Distance,"male nudity, sex, san francisco, waitress, newspaper, bar, nudity, airplane, male female relationship, writer, new york city, masturbation, phone sex, text messaging, intern, long distance relationship, woman director, record company, skype, drama, comedy, romance"
Gojira ni-sen mireniamu,"adventure, horror, action, science fiction, japan, monster, flying saucer, godzilla, city, kaiju"
GoldenEye,"adventure, action, thriller, cuba, falsely accused, secret identity, computer virus, secret base, secret intelligence service, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg russia, ejection seat, red army"
Goldfinger,"secret organization, secret intelligence service, nuclear radiation, fort knox, aston martin, secret lab, kentucky, gas attack, airplane, british secret service, duringcreditsstinger, adventure, action, thriller"
Gone Girl,"drama, thriller, mystery, based on novel, marriage crisis, disappearance, cheating husband, missing person, search party, criminal lawyer, wife murder, murder suspect, missing wife"
Gone in Sixty Seconds,"action, thriller, crime, brother brother relationship, detective, car race, car thief, blackmail, brother, remake, heist, betrayal, organized crime, shootout, police chase, explosion, violence, lock pick, car chase, stakeout, illegal drugs, car movie, stolen cars, ford mustang, blacklight"
Gone with the Wind,"drama, romance, war, life and death, civil war, southern usa, loss of child, marriage proposal, atlanta, luxury, plantation, typhus, business woman, marriage crisis"
Good,"drama, germany, nazis, nazism, euthanasia"
Good Boy!,"comedy, science fiction, family"
"Good bye, Lenin!","drama, comedy, romance, bureaucracy, berlin wall, police state, coma, loss of mother, wife husband relationship, patriotism, german democratic republic, socialism, news broadcast, loss of father, lenin, single, u00a0, filmes contra o comunismo"
Good Deeds,"drama, comedy, romance, african american, single mother, fiancu00e9 fiancu00e9e relationship, corporation, rich man - poor woman"
Good Dick,"sexuality, roommate, misfit, independent film, relationship, woman director, drama, comedy, romance"
Good Intentions,"comedy, independent film"
Good Kill,"drama, action, thriller, pilot, suspicion, drone, u.s. military, air force base, combat drone"
Good Luck Chuck,"drama, comedy, romance, sex, aquarium, nudity, one-night stand, bride, man-woman relation, love, curse, wedding, dentist, based on short story, duringcreditsstinger"
"Good Morning, Vietnam","drama, comedy, war, rock and roll, radio station, war crimes, entertainer, explosive, cynic, radio, vietnam war, vietcong, gi, u.s. air force, dying and death, radio presenter, humor, saigon, provocation, right and justice"
"Good Night, and Good Luck.","drama, history, telecaster, communist, political activism, tv show, politician, government, anti-communism"
Good Will Hunting,"drama, baseball, boston, professor, m.i.t., harvard university, ambition, mathematics, genius, love, friends, janitor, irish, psychologist, university, courtroom, flashback, prodigy"
Goodbye Bafana,"jail guard, prison cell, south africa, apartheid, nelson mandela, escape, xenophobia, drama, history"
GoodFellas,"drama, crime, prison, based on novel, florida, 1970s, mass murder, irish-american, drug traffic, biography, based on true story, murder, organized crime, gore, mafia, gangster, new york city, extreme violence, violence, brooklyn new york city, crime epic, tampa"
Goosebumps,"adventure, horror, comedy, based on novel, magic, fantasy, werewolf, family, ventriloquist dummy, book comes to life, 3d"
Gory Gory Hallelujah,woman director
Gosford Park,"drama, thriller, mystery, servant, money, shooting party"
Gossip,"college, suspense, gossip, rumor, social experiment, drama, thriller, mystery"
Gothika,"horror, thriller, amnesia, mental institution, patient, trust, false accusations, medication, gothic, mental illness"
Grabbers,"horror, comedy, thriller, science fiction, monster, ireland, drunk, beheaded"
Grace of Monaco,"monaco, prince, drama, romance"
Grace Unplugged,"drama, music, christian"
Gracie,drama
Graduation Day,"horror, slasher"
Gran Torino,"rape, war veteran, immigration, priest, gang, old man, teenager, gangster, detroit, widower, car, hmong, drama"
Grand Theft Parsons,"adventure, drama, comedy, crime, 1970s, rock star, chase, musician, independent film"
Grandma's Boy,"video game, grandmother grandson relationship, man child, stoner, game tester, comedy"
Grave Encounters,"horror, thriller, camcorder, reality, insane asylum, paranormal, haunting, psychiatric hospital, ghost hunting, paranormal investigation, labyrinth, mental asylum, found footage"
Gravity,"space mission, loss, space, astronaut, trapped in space, drama, thriller, science fiction"
Grease,"romance, flying car, street gang, running, graduation, musical, rivalry, gossip, makeover, based on stage musical, automobile racing, nostalgic, greaser, wolf whistle, school dance, animated credits, pep rally, wrong side of the tracks, mooning, school principal"
Green Lantern,"adventure, action, thriller, science fiction, dc comics, transformation, superhero, alien, alien infection, magical object, protector, super powers, origin, 3d"
Green Room,"horror, thriller, crime, skinhead, heroin, music, cover-up, murder, suspense, gore, duct tape, swastika, pitbull, witness to murder, meat cleaver, bitten in the neck, neo nazi, punk band, fire extinguisher, mumblegore, killer dog, mauling, box cutter, feedback, mic stand"
Green Street Hooligans: Underground,"drama, action"
Green Zone,"adventure, drama, action, thriller, war, weapon of mass destruction, baghdad, iraqiu00a0"
Gremlins,"fantasy, horror, comedy, holiday, monster, small town, department store, bars and restaurants, human animal relationship, pet, sunlight, chain saw, salesperson, midnight, fur, banking, puppet, skunk, kids and family, gremlin, ymca"
Gremlins 2: The New Batch,"new york, monster, skyscraper, mutant, restaurant, human animal relationship, mutation, tv station, dying and death, water, research station, fur, bat, current, electric shock, cleverness, gremlin, cowardliness, fantasy, horror, comedy"
Gridiron Gang,"adventure, drama, action, crime, competition, prisoner, probation assistant , sport, violence, american football player"
Griff the Invisible,"love, superhero, independent film, comedy, drama, comedy, romance"
Grindhouse,"horror, action, thriller, exploitation, slasher, zombie, killer"
Groove,"drama, music, romance, independent film"
Grosse Pointe Blank,"mission of murder, school party, high school reunion, action, comedy, thriller, romance"
Groundhog Day,"fantasy, drama, comedy, romance, deja vu, groundhog, weather forecast, telecaster, pennsylvania, alarm clock, winter, time warp, time loop, cult film, existentialism, groundhog day"
Growing Up Smith,"drama, comedy, family"
Grown Ups,"comedy, overweight, swing, foot, convertible, arrow"
Grown Ups 2,comedy
Grudge Match,"comedy, father son relationship, sport, rivalry, elderly, elderly man"
Guardians of the Galaxy,"adventure, action, science fiction, marvel comic, spaceship, space, outer space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe"
Guess Who,"comedy, romance, black people, jealousy, parents-in-law, trouble, fiancu00e9e"
Guiana 1838,"guyana, 19th century, drama"
Gulliver's Travels,"comedy, journalist, forbidden love, princess, royal court, 3d"
Gun Shy,"female nudity, drug cartel, nervous breakdown, action, comedy, thriller, romance"
Gunless,"drama, action, comedy, western, gunslinger, bounty hunter, blacksmith, duel, wild west"
"Guten Tag, Ramón","drama, germany, mexican"
H.,"woman director, drama, thriller, science fiction"
Ha-Buah,"drama, romance, gay"
Hachi: A Dog's Tale,"japanese, loyalty, human animal relationship, friendship, friends, family relationships, dog, newspaper reporter, family dog, waiting, drama, family"
Hackers,"drama, action, thriller, crime, female nudity, hacker, nudity, computer virus, virtual reality, computer, sexual fantasy, prank, internet, cyberpunk, teenager, new york city, secret service, computer hacker, dream sequence"
Hai Marjawaan!,"london england, indian lead, murder, matchmaking, ghost, woman director, comedy, romance"
"Hail, Caesar!","drama, comedy, mystery, journalist, cat, ransom, kidnapping, ancient rome, movie in movie, hollywood, period drama"
Hairspray,"comedy, music, romance, family, races, dream, dance, television, tv show, race politics, coloured, music, equality, school party, performance, integration, overweight woman, duel, based on stage musical, xenophobia, based on film, 1960s"
Håkon Håkonsen,"island, ship, pirate, sailor, cabin boy, 19th century, adventure, family"
Half Baked,"comedy, crime, smoking, company, marijuana, drug, woman director"
Half Nelson,"date, ex-girlfriend, bicycle, crack, independent film, drama"
Half Past Dead,"action, thriller, crime, resistance, undercover, alcatraz, stolen money"
Hall Pass,"wife husband relationship, daydream, marriage, freedom, friends, comedy"
Halloween,"horror, thriller, female nudity, nudity, mask, babysitter, halloween, police, psychopathic killer, independent film, stalking, serial killer, marijuana, masked killer, blood, pot smoking, slasher, murderer, throat slitting, maniac, violence, killing spree, family, cult film, evil, psychotic, smoking pot, institution, escaped killer"
Halloween 4: The Return of Michael Myers,"horror, thriller, sheriff, scissors, ambulance, halloween, twist, knife, sequel, murder, serial killer, masked killer, blood, niece, evil, michael myers, october"
Halloween 5: The Revenge of Michael Myers,"sheriff, barn, black, sequel, boogeyman, masked killer, slasher, youth, psychiatrist, killer, kitten, scythe, heroine, pitchfork, psychotronic, michael myers, horror, thriller"
Halloween II,"horror, nurse, shotgun, nudity, therapist, book, halloween, barn, death of a friend, insanity, number in title, rampage, purgatory, hospital, pentagram, overturning car, mental institution, red, murderer, violence, white horse, duringcreditsstinger, michael myers, phantom jam"
Halloween III: Season of the Witch,"commercial, factory, gas station, curfew, mask, halloween, hospital, doctor, death, surveillance camera, stonehenge, horror, science fiction, mystery"
Halloween: Resurrection,"horror, thriller, brother sister relationship, innocence, serial killer, michael myers"
Halloween: The Curse of Michael Myers,"mass murder, nudity, halloween, attempt to escape, cult, psychopath, escape agent, murder, escape, slasher, doctor, niece, death, evil, michael myers, psychiatric, murder hunt, halloween night, horror, thriller"
Hamlet,"drama, mother, shakespeare, denmark, loss of father, prince, madness"
Hamlet 2,"music teacher, musical, theatre milieu, high school, latina, teacher, sweat, comedy, music"
Hancock,"fantasy, action, flying, alcohol, love of one's life, forbidden love, lovers, affection, advertising expert, alcoholism, invulnerability, superhero, pokies, duringcreditsstinger"
Hands of Stone,drama
Hang 'em High,"western, prison, judge, marshal, death penalty, oklahoma, widow, cattle drive, hanging, law man, lynching, search party"
Hanging Up,"sister sister relationship, cheating, amnesia, crisis line, telephone, loss of wife, ex-wife, woman director, drama, comedy"
Hanna,"adventure, action, thriller, assassin, self sacrifice, strip club, secret agent, training, british, road trip, dead animal, teenage girl, pistol, duringcreditsstinger"
Hannah Montana: The Movie,"double life, pop star, musical, tennessee, teenage girl, teen movie, teenager, hometown, famous, drama, comedy, music, romance, family"
Hannibal Rising,"drama, thriller, crime, winter, psychopath, horror, serial killer"
Hansel & Gretel: Witch Hunters,"fantasy, horror, action, witch, black magic, steampunk, good vs evil, troll, extreme violence, violence, witchcraft, evil, witch hunt, witch hunter, evil witch, duringcreditsstinger, hansel and gretel, guns, 3d"
Hansel and Gretel Get Baked,"horror, comedy, witch, marijuana, succubus, power company, cannibalism"
Happily N'Ever After,"fantasy, animation, comedy, science fiction, family, dwarves, cinderella, wolf, bad mother-in-law, prince, fairy tale, little red riding hood, step mother, wizardry, princess, sleeping beauty, rumpelstilzchen, good and bad, intern, woman director"
Happiness,"rape, sister sister relationship, lover (female), pedophilia, sister, partnership, stalker, secret love, independent film, relationship, extramarital affair, family conflict, unhappiness, drama, comedy"
Happy Christmas,"drama, comedy, family, mumblecore, christmas"
Happy Feet,"animation, comedy, ocean, fish, zoo, penguin, tap dancing, love, crush, snow, anthropomorphism, singing, antarctica, family, duringcreditsstinger"
Happy Feet Two,"penguin, musical, aftercreditsstinger, 3d, animation, comedy, family"
